Description,Country,Weather,Time of Day,Season,Activity,Mood/Emotion,student_id
"A vibrant street view of Times Square filled with bright billboards, yellow taxis, and people walking along the sidewalks.",United States,Sunny,Morning,Winter,City Exploring,Excitement,1221005
Autumn colors in Central Park with a lake and NYC skyscrapers rising in the background.,United States,Sunny,Afternoon,Fall,Relaxing in Nature,Nostalgia,1221005
A clear view of the Statue of Liberty standing tall on Liberty Island.,United States,Sunny,Afternoon,Fall,Heritage Sightseeing,Inspiration,1221005
A nighttime view of the Brooklyn Bridge with the NYC skyline glowing behind it.,United States,Not Clear,Evening,Not Clear,Photography,Romance,1221005
A snowy winter scene with the Empire State Building glowing as snow falls over NYC streets.,United States,Snowy,Evening,Winter,Winter Walking,Nostalgia,1221005
"A modern aerial view of the Santiago Bernabéu Stadium at night, illuminated by bright lights.",Spain,Not Clear,Night,Not Clear,Attending a Sports Venue,Excitement,1221005
A majestic view of the Royal Palace of Madrid framed by tall trees and gardens.,Spain,Sunny,Afternoon,spring,Historical Touring,Curiosity,1221005
Plaza Mayor's iconic red buildings and open square with people casually walking.,Spain,Cloudy,Afternoon,Not Clear,Strolling the Plaza,Curiosity,1221005
A peaceful exterior view of Almudena Cathedral with surrounding greenery.,Spain,Sunny,Afternoon,Not Clear,Cultural Exploration,Calmness,1221005
The Crystal Palace in El Retiro Park surrounded by autumn trees and a lake with a fountain.,Spain,Sunny,Afternoon,Fall,Park Relaxation,Happiness,1221005
